Weapon,Hash,Perks,PerkHashes,Tags,Notes,Name,Description
"Liminal Vigil (Adept)","1905934655","Tactical Mag | Fluted Barrel | Headstone | Headstone | Enlightened Action | Tactical Mag | Fluted Barrel | Rimestealer | Desperate Measures | Tex Balanced Stock | Rimestealer | Desperate Measures | Enlightened Action","106909392|1124871858|1171887445|124408337|1771736209|1783397184|1840239774|1955165503|2109543898|2437618208|2617553311|2799030358|3828510309","GodPVE","","Liminal Vigil PVE God Roll","Barrel: Fluted Barrel
Magazine: Tactical Mag
Perk 1: Headstone (also good: Enlightened Action)
Perk 2: Desperate Measures or Rimestealer
Masterwork: Reload Speed
Origin Trait: Tex Balanced Stock"
"Liminal Vigil (Adept)","1905934655","Kill Clip | Smallbore | Tap the Trigger | Tap the Trigger | Lone Wolf | Desperate Measures | Tex Balanced Stock | Lone Wolf | Desperate Measures | Smallbore | Kill Clip | Accurized Rounds | Accurized Rounds","1015611457|1482024992|1523649716|1890422124|2073244114|2109543898|2437618208|2579169598|2799030358|2860123632|2923251173|3142289711|3267421167","GodPVP","","Liminal Vigil PVP God Roll","Barrel: Smallbore
Magazine: Accurized Rounds
Perk 1: Lone Wolf or Tap the Trigger
Perk 2: Desperate Measures or Kill Clip
Masterwork: Range
Origin Trait: Tex Balanced Stock"
"Insurmountable","414045521","Fluted Barrel | Flared Magwell | Fluted Barrel | Demolitionist | Destabilizing Rounds | Dark Ether Reaper | Destabilizing Rounds | Desperate Measures | Repulsor Brace | Desperate Measures | Flared Magwell | Demolitionist | One for All | Repulsor Brace | One for All","1124871858|1709045111|1840239774|1906147653|1926441324|2041432007|2048641572|2109543898|2541826827|2799030358|3230963543|3523296417|4049631843|776531651|859780267","GodPVE","","Insurmountable PVE God Roll","Barrel: Fluted Barrel
Magazine: Flared Magwell
Perk 1: Demolitionist (also good: Repulsor Brace)
Perk 2: Desperate Measures (also good: Destabilising Rounds or One For All)
Masterwork: Reload Speed"
"Insurmountable","414045521","Closing Time | Smallbore | Dark Ether Reaper | Lone Wolf | Lone Wolf | Smallbore | Accurized Rounds | Accurized Rounds | To the Pain | To the Pain | Closing Time","1194056669|1482024992|2041432007|2073244114|2579169598|2860123632|3142289711|3267421167|3416609154|3938834702|3955464425","GodPVP","","Insurmountable PVP God Roll","Barrel: Smallbore
Magazine: Accurized Rounds
Perk 1: To The Pain (also good: Lone Wolf)
Perk 2: Closing Time
Masterwork: Range or Stability"
"Indebted Kindness","3381450498","High-Velocity Rounds | Voltshot | High-Velocity Rounds | Beacon Rounds | Quick Launch | Quick Launch | Surrounded | Impulse Amplifier","2108812838|2173046394|2822142346|2859149211|3250572790|3525010810|3708227201|951095735","GodPVE","","Indebted Kindness PVE God Roll","Barrel: Quick Launch
Magazine: High-Velocity Rounds
Perk 1: Impulse Amplifier (also good: Beacon Rounds)
Perk 2: Voltshot (also good: Surrounded)
Masterwork: Velocity"
"Indebted Kindness","3381450498","High-Velocity Rounds | High-Velocity Rounds | Beacon Rounds | Quick Launch | Quick Launch | Adagio | Impulse Amplifier","2108812838|2822142346|2859149211|3250572790|3525010810|3673922083|951095735","GodPVP","","Indebted Kindness PVP God Roll","Barrel: Quick Launch
Magazine: High-Velocity Rounds
Perk 1: Impulse Amplifier (also good: Beacon Rounds)
Perk 2: Adagio
Masterwork: Velocity"
"Forgiveness","1552443158","Fluted Barrel | Roar of Battle | Flared Magwell | Voltshot | Fluted Barrel | Demolitionist | Desperate Measures | Voltshot | Desperate Measures | Flared Magwell | Demolitionist | Surrounded | Roar of Battle | Surrounded","1124871858|1673863459|1709045111|1720528630|1840239774|1906147653|2109543898|2173046394|2799030358|3230963543|3523296417|3708227201|4236235115|781192741","GodPVE","","Forgiveness PVE God Roll","Barrel: Fluted Barrel
Magazine: Flared Magwell
Perk 1: Voltshot (also good: Demolitionist)
Perk 2: Surrounded (also good: Desperate Measures)
Masterwork: Handling
Origin Trait: Roar of Battle"
"Forgiveness","1552443158","Kill Clip | Smallbore | Tap the Trigger | Zen Moment | Ricochet Rounds | Tap the Trigger | Fleet Footed | Ricochet Rounds | Lone Wolf | Zen Moment | Lone Wolf | Smallbore | Kill Clip | Headseeker | Headseeker | Fleet Footed","1015611457|1482024992|1523649716|1748774930|1885400500|1890422124|1939575288|1968098204|2073244114|2387244414|2579169598|2860123632|2923251173|4045335048|460017080|65797256","GodPVP","","Forgiveness PVP God Roll","Barrel: Smallbore
Magazine: Ricochet Rounds
Perk 1: Zen Moment (also good: Lone Wolf, Tap the Trigger)
Perk 2: Headseeker (also good: Kill clip)
Masterwork: Range
Origin Trait: Fleet Footed"
"Fimbulwinter Stitch","3685829362","Appended Mag | Appended Mag | Trickle Charge | Fluted Barrel | Supercharged Magazine | Voltshot | Fluted Barrel | Voltshot | Rolling Storm | Rolling Storm | Jolting Feedback | Trickle Charge | Supercharged Magazine | Jolting Feedback","1065371964|1087426260|1115162408|1124871858|1511100135|1720528630|1840239774|2173046394|2633604463|3218042543|3966416502|511499160|65604327|717070634","GodPVE","","Fimbulwinter Stitch PVE God Roll","Barrel: Fluted Barrel
Magazine: Appended Mag
Perk 1: Supercharged Magazine (also good: Trickle Charge)
Perk 2: Jolting Feedback (also good: Rolling Storm, Voltshot)
Masterwork: Handling"
"Fimbulwinter Stitch","3685829362","Kill Clip | Smallbore | Ricochet Rounds | Ricochet Rounds | Lone Wolf | Lone Wolf | Rangefinder | Smallbore | Kill Clip | Precision Instrument | Rangefinder | Precision Instrument","1015611457|1482024992|1885400500|1968098204|2073244114|2579169598|2846385770|2860123632|2923251173|332733060|509594246|555281244","GodPVP","","Fimbulwinter Stitch PVP God Roll","Barrel: Smallbore
Magazine: Ricochet Rounds
Perk 1: Rangefinder or Lone Wolf
Perk 2: Precision Instrument (also good: Kill Clip)
Masterwork: Range"
"Drang","358190158","Vanguard Determination | Flared Magwell | Incandescent | Frenzy | Heal Clip | Arrowhead Brake | Aggregate Charge | Flared Magwell | Aggregate Charge | Vanguard Determination | Frenzy | Heal Clip | Envious Assassin | Incandescent | Arrowhead Brake | Envious Assassin","1621842933|1709045111|2675184851|3007133316|3017780555|3048246338|3192447905|3230963543|3764420437|3846229553|4104185692|4223976499|424370782|4293542123|839105230|968510818","GodPVE","","Drang PVE God Roll","Barrel: Arrowhead Brake
Magazine: Flared Magwell
Perk 1: Heal Clip (also good: Envious Assassin)
Perk 2: Incandescent (also good: Aggregate Charge, Frenzy)
Masterwork: Reload Speed
Origin Trait: Vanguard Determination"
"Drang","358190158","Fluted Barrel | Roar of Battle | Fluted Barrel | Moving Target | Master of Arms | Master of Arms | Accurized Rounds | Accurized Rounds | Eye of the Storm | Roar of Battle | Moving Target | Eye of the Storm","1124871858|1673863459|1840239774|2717805783|2963273944|3081867624|3142289711|3267421167|3719974635|4236235115|588594999|699525795","GodPVP","","Drang PVP God Roll","Barrel: Fluted Barrel
Magazine: Accurized Rounds
Perk 1: Moving Target
Perk 2: Eye of the Storm (also good: Master of Arms)
Masterwork: Range
Origin Trait: Roar of Battle"
"Drang (Baroque)","502356570","Smallbore | To Excess | Incandescent | Wellspring | Smallbore | Accurized Rounds | Accurized Rounds | Wellspring | Incandescent","1482024992|1905044254|2675184851|2675361166|2860123632|3142289711|3267421167|3592538738|4293542123","GodPVE","","Drang (Baroque) PVE God Roll","Barrel: Smallbore
Magazine: Accurized Rounds
Perk 1: Wellspring
Perk 2: Incandescent
Masterwork: Range
Origin Trait: To Excess"
"Drang (Baroque)","502356570","Smallbore | To Excess | Moving Target | Smallbore | Rampage | Accurized Rounds | Accurized Rounds | Rampage | Moving Target","1482024992|1905044254|2717805783|2860123632|288411554|3142289711|3267421167|3425386926|588594999","GodPVP","","Drang (Baroque) PVP God Roll","Barrel: Smallbore
Magazine: Accurized Rounds
Perk 1: Moving Target
Perk 2: Rampage
Masterwork: Stability
Origin Trait: To Excess"
"Division","2903168058","Tactical Mag | Fluted Barrel | Voltshot | Tactical Mag | Fluted Barrel | Voltshot | Eddy Current | Eddy Current | Willing Vessel","106909392|1124871858|1720528630|1783397184|1840239774|2173046394|2785334058|684456054|878237828","GodPVE","","Division PVE God Roll","Barrel: Fluted Barrel
Magazine: Tactical Mag
Perk 1: Eddy Current
Perk 2: Voltshot
Masterwork: Handling
Origin Trait: Willing Vessel"
"Division","2903168058","Steady Rounds | Smallbore | Smallbore | Sword Logic | Steady Rounds | To the Pain | To the Pain | Sword Logic | Willing Vessel","1002206008|1482024992|2860123632|31345821|3177308360|3416609154|3938834702|639190697|878237828","GodPVP","","Division PVP God Roll","Barrel: Smallbore
Magazine: Steady Rounds
Perk 1: To the Pain
Perk 2: Sword Logic
Masterwork: Stability
Origin Trait: Willing Vessel"
"Division (Adept)","3734001727","Tactical Mag | Fluted Barrel | Voltshot | Tactical Mag | Fluted Barrel | Voltshot | Eddy Current | Eddy Current | Willing Vessel","106909392|1124871858|1720528630|1783397184|1840239774|2173046394|2785334058|684456054|878237828","GodPVE","","Division PVE God Roll","Barrel: Fluted Barrel
Magazine: Tactical Mag
Perk 1: Eddy Current
Perk 2: Voltshot
Masterwork: Handling
Origin Trait: Willing Vessel"
"Division (Adept)","3734001727","Steady Rounds | Smallbore | Smallbore | Sword Logic | Steady Rounds | To the Pain | To the Pain | Sword Logic | Willing Vessel","1002206008|1482024992|2860123632|31345821|3177308360|3416609154|3938834702|639190697|878237828","GodPVP","","Division PVP God Roll","Barrel: Smallbore
Magazine: Steady Rounds
Perk 1: To the Pain
Perk 2: Sword Logic
Masterwork: Stability
Origin Trait: Willing Vessel"
"Compact Defender","2819552809","Fluted Barrel | Ionized Heatsink | Fluted Barrel | Thermal Atomization | Destabilizing Rounds | Cooling Baubles | Destabilizing Rounds | Desperate Measures | Repulsor Brace | Desperate Measures | Thermal Atomization | Cooling Baubles | Repulsor Brace | Ionized Heatsink","1124871858|1454612425|1840239774|1909124648|1926441324|2039482529|2048641572|2109543898|2541826827|2799030358|3590359704|3932949589|776531651|807993149","GodPVE","","Compact Defender PVE God Roll","Barrel: Fluted Barrel
Magazine: Ionized Heatsink
Perk 1: Destabilizing Rounds (also good: Cooling Baubles)
Perk 2: Thermal Atomization or Desperate Measures (also good: Repulsor Brace)
Masterwork: Heat Generation"
"Compact Defender","2819552809","Kill Clip | Delicate Tuning | Smallbore | Desperate Measures | Desperate Measures | Rangefinder | Smallbore | Kill Clip | Delicate Tuning | Particle Repeater | Particle Repeater | Rangefinder","1015611457|1341464476|1482024992|2109543898|2799030358|2846385770|2860123632|2923251173|307683764|3081681954|3868766766|509594246","GodPVP","","Compact Defender PVP God Roll","Barrel: Smallbore
Magazine: Particle Repeater
Perk 1: Range Finder (also good: Delicate Tuning)
Perk 2: Kill Clip or Desperate Measures
Masterwork: Range"
"Buzzard","213264394","Hammer-Forged Rifling | Perpetual Motion | Smallbore | Flared Magwell | Ricochet Rounds | Ricochet Rounds | Multikill Clip | Smallbore | Flared Magwell | Hammer-Forged Rifling | Kinetic Tremors | Frenzy","1147230557|1428297954|1482024992|1709045111|1885400500|1968098204|2458213969|2860123632|3230963543|3250034553|3891536761|4104185692","GodPVE","","Buzzard PVE God Roll","Barrel: Smallbore (also good: Hammer-Forged Rifling)
Magazine: Ricochet Rounds (also good: Flared Magwell)
Perk 1: Perpetual Motion
Perk 2: Kinetic Tremors (also good: Frenzy or Multikill Clip)
Masterwork: Range"
"Buzzard","213264394","Hammer-Forged Rifling | Encore | Perpetual Motion | Smallbore | Ricochet Rounds | Ricochet Rounds | Rangefinder | Smallbore | Hammer-Forged Rifling | Swashbuckler","1147230557|1195158366|1428297954|1482024992|1885400500|1968098204|2846385770|2860123632|3250034553|4082225868","GodPVP","","Buzzard PVP God Roll","Barrel: Smallbore (also good: Hammer-Forged Rifling)
Magazine: Ricochet Rounds
Perk 1: Perpetual Motion (also good: Encore)
Perk 2: Swashbuckler (also good: Rangefinder)
Masterwork: Range"
"Buzzard (Adept)","927835311","Hammer-Forged Rifling | Perpetual Motion | Smallbore | Flared Magwell | Ricochet Rounds | Ricochet Rounds | Multikill Clip | Smallbore | Flared Magwell | Hammer-Forged Rifling | Kinetic Tremors | Frenzy","1147230557|1428297954|1482024992|1709045111|1885400500|1968098204|2458213969|2860123632|3230963543|3250034553|3891536761|4104185692","GodPVE","","Buzzard PVE God Roll","Barrel: Smallbore (also good: Hammer-Forged Rifling)
Magazine: Ricochet Rounds (also good: Flared Magwell)
Perk 1: Perpetual Motion
Perk 2: Kinetic Tremors (also good: Frenzy or Multikill Clip)
Masterwork: Range"
"Buzzard (Adept)","927835311","Encore | Perpetual Motion | Smallbore | Ricochet Rounds | Ricochet Rounds | Rangefinder | Smallbore | Swashbuckler","1195158366|1428297954|1482024992|1885400500|1968098204|2846385770|2860123632|4082225868","GodPVP","","Buzzard PVP God Roll","Barrel: Smallbore (also good: Hammer-Forged Rifling)
Magazine: Ricochet Rounds
Perk 1: Perpetual Motion (also good: Encore)
Perk 2: Swashbuckler (also good: Rangefinder)
Masterwork: Range"
"Breachlight","2328923181","Tactical Mag | Corkscrew Rifling | Fluted Barrel | Adrenaline Junkie | Tactical Mag | Fluted Barrel | Demolitionist | Desperate Measures | Adrenaline Junkie | Desperate Measures | Demolitionist | Corkscrew Rifling","106909392|111235976|1124871858|11612903|1783397184|1840239774|1906147653|2109543898|2422968039|2799030358|3523296417|4090651448","GodPVE","","Breachlight PVE God Roll","Barrel: Fluted Barrel (also good: Corkscrew Rifling)
Magazine: Tactical Mag
Perk 1: Demolitionist
Perk 2: Desperate Measures (also good: Adrenaline Junkie)
Masterwork: Reload Speed"
"Breachlight","2328923181","Swashbuckler | Perpetual Motion | Smallbore | Perpetual Motion | Smallbore | Accurized Rounds | Accurized Rounds | Threat Detector | Swashbuckler | Threat Detector","1161469972|1428297954|1482024992|2014892510|2860123632|3142289711|3267421167|4071163871|4082225868|494941759","GodPVP","","Breachlight PVE God Roll","Barrel: Smallbore
Magazine: Accurized Rounds
Perk 1: Threat Detector or Perpetual Motion
Perk 2: Swashbuckler
Masterwork: Stability"
"Briar's Contempt","1491665733","Fluted Barrel | Ionized Battery | Reconstruction | Rewind Rounds | Liquid Coils | Fluted Barrel | Demolitionist | Focused Fury | Liquid Coils | Focused Fury | Frenzy | Rewind Rounds | Demolitionist | Ionized Battery | Frenzy | Reconstruction","1124871858|1483536627|1523832109|1563455254|1687452232|1840239774|1906147653|2402480669|2777563320|2896038713|3007133316|3418782618|3523296417|3629421851|4104185692|461595545","GodPVE","","Briar's Contempt PVE God Roll","Barrel: Fluted Barrel
Battery: Liquid Coils or Ionized Battery
Perk 1: Rewind Rounds, Demolionist or Reconstruction
Perk 2: Frenzy or Focused Fury
Masterwork: Handling or Charge Time"
"Briar's Contempt","1491665733","Fluted Barrel | Fluted Barrel | High-Impact Reserves | High-Impact Reserves | Projection Fuse | Projection Fuse | Particle Repeater | Keep Away | Keep Away | Particle Repeater","1124871858|1840239774|2002547233|2213355989|2800182654|2969185026|3081681954|3198323828|3619207468|3868766766","GodPVP","","Briar's Contempt PVP God Roll","Barrel: Fluted Barrel
Battery: Particle Repeater or Projection Fuse
Perk 1: Keep Away
Perk 2: High-Impact Reserves
Masterwork: Handling or Range"
"Briar's Contempt (Adept)","2890082420","Fluted Barrel | Ionized Battery | Reconstruction | Rewind Rounds | Liquid Coils | Fluted Barrel | Demolitionist | Focused Fury | Liquid Coils | Focused Fury | Frenzy | Rewind Rounds | Demolitionist | Ionized Battery | Frenzy | Reconstruction","1124871858|1483536627|1523832109|1563455254|1687452232|1840239774|1906147653|2402480669|2777563320|2896038713|3007133316|3418782618|3523296417|3629421851|4104185692|461595545","GodPVE","","Briar's Contempt PVE God Roll","Barrel: Fluted Barrel
Battery: Liquid Coils or Ionized Battery
Perk 1: Rewind Rounds, Demolionist or Reconstruction
Perk 2: Frenzy or Focused Fury
Masterwork: Handling or Charge Time"
"Briar's Contempt (Adept)","2890082420","Fluted Barrel | Fluted Barrel | High-Impact Reserves | High-Impact Reserves | Projection Fuse | Projection Fuse | Particle Repeater | Keep Away | Keep Away | Particle Repeater","1124871858|1840239774|2002547233|2213355989|2800182654|2969185026|3081681954|3198323828|3619207468|3868766766","GodPVP","","Briar's Contempt PVP God Roll","Barrel: Fluted Barrel
Battery: Particle Repeater or Projection Fuse
Perk 1: Keep Away
Perk 2: High-Impact Reserves
Masterwork: Handling or Range"
"Cataclysmic","999767358","Fluted Barrel | Fourth Time's the Charm | Fluted Barrel | Enhanced Battery | Bait and Switch | Bait and Switch | Enhanced Battery | Fourth Time's the Charm","1124871858|1354429876|1840239774|2680121939|3078487919|3744057135|3839493627|848860060","GodPVE","","Cataclysmic PVE God Roll","Barrel: Fluted Barrel
Battery: Enhanced Battery
Perk 1: Fourth Time’s the Charm
Perk 2: Bait and Switch
Masterwork: Charge Time"
"Cataclysmic","999767358","Accelerated Coils | Dragonfly | High-Impact Reserves | High-Impact Reserves | Dragonfly | Arrowhead Brake | Accelerated Coils | Arrowhead Brake","1279785143|169755979|2002547233|2213355989|2848615171|3048246338|689005463|839105230","GodPVP","","Cataclysmic PVP God Roll","Barrel: Arrowhead Brake
Battery: Accelerated Coils
Perk 1: Dragonfly
Perk 2: High-Impact Reserves
Masterwork: Charge Time"
"Cataclysmic (Adept)","2886339027","Fluted Barrel | Fourth Time's the Charm | Fluted Barrel | Enhanced Battery | Bait and Switch | Bait and Switch | Enhanced Battery | Fourth Time's the Charm","1124871858|1354429876|1840239774|2680121939|3078487919|3744057135|3839493627|848860060","GodPVE","","Cataclysmic PVE God Roll","Barrel: Fluted Barrel
Battery: Enhanced Battery
Perk 1: Fourth Time’s the Charm
Perk 2: Bait and Switch
Masterwork: Charge Time"
"Cataclysmic (Adept)","2886339027","Accelerated Coils | Dragonfly | High-Impact Reserves | High-Impact Reserves | Dragonfly | Arrowhead Brake | Accelerated Coils | Arrowhead Brake","1279785143|169755979|2002547233|2213355989|2848615171|3048246338|689005463|839105230","GodPVP","","Cataclysmic PVP God Roll","Barrel: Arrowhead Brake
Battery: Accelerated Coils
Perk 1: Dragonfly
Perk 2: High-Impact Reserves
Masterwork: Charge Time"
"Insidious","3428521585","Corkscrew Rifling | Dragonfly | Flared Magwell | Rapid Hit | Dragonfly | Rampage | Rapid Hit | Flared Magwell | Rampage | One for All | Corkscrew Rifling | One for All","111235976|169755979|1709045111|247725512|2848615171|288411554|2938480696|3230963543|3425386926|4049631843|4090651448|859780267","GodPVE","","Insidious PVE God Roll","Barrel: Corkscrew Rifling
Magazine: Flared Magwell
Perk 1: Dragonfly or Rapid Hit
Perk 2: One for All or Rampage
Masterwork: Reload Speed"
"Insidious","3428521585","Rapid Hit | Rampage | Rapid Hit | Arrowhead Brake | Accurized Rounds | Accurized Rounds | Rampage | Arrowhead Brake","247725512|288411554|2938480696|3048246338|3142289711|3267421167|3425386926|839105230","GodPVP","","Insidious PVP God Roll","Barrel: Arrowhead Break
Magazine: Accurized Rounds
Perk 1: Rapid Hit
Perk 2: Rampage
Masterwork: Range"
"Insidious (Adept)","786352912","Corkscrew Rifling | Dragonfly | Flared Magwell | Rapid Hit | Dragonfly | Rampage | Rapid Hit | Flared Magwell | Rampage | One for All | Corkscrew Rifling | One for All","111235976|169755979|1709045111|247725512|2848615171|288411554|2938480696|3230963543|3425386926|4049631843|4090651448|859780267","GodPVE","","Insidious PVE God Roll","Barrel: Corkscrew Rifling
Magazine: Flared Magwell
Perk 1: Dragonfly or Rapid Hit
Perk 2: One for All or Rampage
Masterwork: Reload Speed"
"Insidious (Adept)","786352912","Rapid Hit | Rampage | Rapid Hit | Arrowhead Brake | Accurized Rounds | Accurized Rounds | Rampage | Arrowhead Brake","247725512|288411554|2938480696|3048246338|3142289711|3267421167|3425386926|839105230","GodPVP","","Insidious PVP God Roll","Barrel: Arrowhead Break
Magazine: Accurized Rounds
Perk 1: Rapid Hit
Perk 2: Rampage
Masterwork: Range"
"Word of Crota","120706239","Tactical Mag | Hammer-Forged Rifling | Dragonfly | Destabilizing Rounds | Destabilizing Rounds | Repulsor Brace | Dragonfly | Flared Magwell | Hammer-Forged Rifling | Repulsor Brace","106909392|1147230557|169755979|1926441324|2048641572|2541826827|2848615171|3230963543|3250034553|776531651","GodPVE","","Word of Crota PVE God Roll","Barrel: Hammer-Forged Rifling
Magazine: Flared Magwell (also good: Tactical Mag)
Perk 1: Repulsor Brace or Dragonfly
Perk 2: Destabilizing Rounds
Masterwork: Range or Reload Speed"
"Word of Crota","120706239","Hammer-Forged Rifling | Full Bore | Full Bore | Killing Wind | Rangefinder | Rampage | Sword Logic | Accurized Rounds | Hammer-Forged Rifling | Rampage | Killing Wind | Rangefinder | Sword Logic","1147230557|1871180748|202670084|2450788523|2846385770|288411554|31345821|3142289711|3250034553|3425386926|4207509907|509594246|639190697","GodPVP","","Word of Crota PVP God Roll","Barrel: Hammer-Forged Rifling (also good: Full Bore)
Magazine: Accurized Rounds
Perk 1: Killing Wind (also good: Rangefinder)
Perk 2: Sword Logic (also good: Rampage)
Masterwork: Range"
"Word of Crota (Adept)","3926103986","Tactical Mag | Hammer-Forged Rifling | Dragonfly | Destabilizing Rounds | Destabilizing Rounds | Repulsor Brace | Dragonfly | Flared Magwell | Hammer-Forged Rifling | Repulsor Brace","106909392|1147230557|169755979|1926441324|2048641572|2541826827|2848615171|3230963543|3250034553|776531651","GodPVE","","Word of Crota PVE God Roll","Barrel: Hammer-Forged Rifling
Magazine: Flared Magwell (also good: Tactical Mag)
Perk 1: Repulsor Brace or Dragonfly
Perk 2: Destabilizing Rounds
Masterwork: Range or Reload Speed"
"Word of Crota (Adept)","3926103986","Hammer-Forged Rifling | Full Bore | Full Bore | Killing Wind | Rangefinder | Rampage | Sword Logic | Accurized Rounds | Hammer-Forged Rifling | Rampage | Killing Wind | Rangefinder | Sword Logic","1147230557|1871180748|202670084|2450788523|2846385770|288411554|31345821|3142289711|3250034553|3425386926|4207509907|509594246|639190697","GodPVP","","Word of Crota PVP God Roll","Barrel: Hammer-Forged Rifling (also good: Full Bore)
Magazine: Accurized Rounds
Perk 1: Killing Wind (also good: Rangefinder)
Perk 2: Sword Logic (also good: Rampage)
Masterwork: Range"
"Song of Ir Yût","2828278545","Cursed Thrall | Polygonal Rifling | Rewind Rounds | Extended Mag | Extended Mag | Target Lock | Rewind Rounds | Target Lock | Polygonal Rifling","1156201379|1392496348|1563455254|1890997540|2420895100|2939589096|3418782618|365154968|3966296580","GodPVE","","Song of Ir Yût PVE God Roll","Barrel: Polygonal Rifling
Magazine: Extended Mag
Perk 1: Rewind Rounds
Perk 2: Target Lock
Masterwork: Reload Speed"
"Song of Ir Yût","2828278545","Hammer-Forged Rifling | Cursed Thrall | Zen Moment | Ricochet Rounds | Ricochet Rounds | Zen Moment | Target Lock | Hammer-Forged Rifling | Target Lock","1147230557|1156201379|1748774930|1885400500|1968098204|2387244414|2939589096|3250034553|365154968","GodPVP","","Song of Ir Yût PVP God Roll","Barrel: Hammer-Forged Rifling
Magazine: Ricochet Rounds
Perk 1: Zen Moment
Perk 2: Target Lock
Masterwork: Range"
"Song of Ir Yût (Adept)","407511664","Polygonal Rifling | Rewind Rounds | Extended Mag | Extended Mag | Target Lock | Rewind Rounds | Target Lock | Polygonal Rifling","1392496348|1563455254|1890997540|2420895100|2939589096|3418782618|365154968|3966296580","GodPVE","","Song of Ir Yût PVE God Roll","Barrel: Polygonal Rifling
Magazine: Extended Mag
Perk 1: Rewind Rounds
Perk 2: Target Lock
Masterwork: Reload Speed"
"Song of Ir Yût (Adept)","407511664","Hammer-Forged Rifling | Zen Moment | Ricochet Rounds | Ricochet Rounds | Zen Moment | Target Lock | Hammer-Forged Rifling | Target Lock","1147230557|1748774930|1885400500|1968098204|2387244414|2939589096|3250034553|365154968","GodPVP","","Song of Ir Yût PVP God Roll","Barrel: Hammer-Forged Rifling
Magazine: Ricochet Rounds
Perk 1: Zen Moment
Perk 2: Target Lock
Masterwork: Range"
"Oversoul Edict","1098171824","Fluted Barrel | Adrenaline Junkie | Perpetual Motion | Smallbore | High-Caliber Rounds | Voltshot | Fluted Barrel | Ricochet Rounds | Demolitionist | Ricochet Rounds | Perpetual Motion | Voltshot | Adrenaline Junkie | Smallbore | Sword Logic | Demolitionist | High-Caliber Rounds | Sword Logic","1124871858|11612903|1428297954|1482024992|1561002382|1720528630|1840239774|1885400500|1906147653|1968098204|2014892510|2173046394|2422968039|2860123632|31345821|3523296417|494745090|639190697","GodPVE","","Oversoul Edict PVE God Roll","Barrel: Smallbore (also good: Fluted Barrel)
Magazine: High-Caliber Rounds (also good: Ricochet Rounds)
Perk 1: Demolitionist (also good: Perpetual Motion)
Perk 2: Voltshot (also good: Sword Logic or Adrenaline Junkie)
Masterwork: Reload"
"Oversoul Edict","1098171824","Smallbore | High-Caliber Rounds | Ricochet Rounds | Ricochet Rounds | Moving Target | Smallbore | Keep Away | Keep Away | Eye of the Storm | Headseeker | Headseeker | High-Caliber Rounds | Moving Target | Eye of the Storm","1482024992|1561002382|1885400500|1968098204|2717805783|2860123632|3198323828|3619207468|3719974635|4045335048|460017080|494745090|588594999|699525795","GodPVP","","Oversoul Edict PVP God Roll","Barrel: Smallbore (also good: Hammer-Forged Rifling)
Magazine: High-Caliber Rounds (also good: Ricochet Rounds)
Perk 1: Keep Away (also good: Eye of the Storm)
Perk 2: Moving Target (also good: Headseeker)
Masterwork: Range"
"Oversoul Edict (Adept)","578105049","Fluted Barrel | Adrenaline Junkie | Perpetual Motion | Smallbore | High-Caliber Rounds | Voltshot | Fluted Barrel | Ricochet Rounds | Demolitionist | Ricochet Rounds | Perpetual Motion | Voltshot | Adrenaline Junkie | Smallbore | Sword Logic | Demolitionist | High-Caliber Rounds | Sword Logic","1124871858|11612903|1428297954|1482024992|1561002382|1720528630|1840239774|1885400500|1906147653|1968098204|2014892510|2173046394|2422968039|2860123632|31345821|3523296417|494745090|639190697","GodPVE","","Oversoul Edict PVE God Roll","Barrel: Smallbore (also good: Fluted Barrel)
Magazine: High-Caliber Rounds (also good: Ricochet Rounds)
Perk 1: Demolitionist (also good: Perpetual Motion)
Perk 2: Voltshot (also good: Sword Logic or Adrenaline Junkie)
Masterwork: Reload"
"Oversoul Edict (Adept)","578105049","Hammer-Forged Rifling | Smallbore | High-Caliber Rounds | Ricochet Rounds | Ricochet Rounds | Moving Target | Smallbore | Keep Away | Hammer-Forged Rifling | Keep Away | Eye of the Storm | Headseeker | Headseeker | High-Caliber Rounds | Moving Target | Eye of the Storm","1147230557|1482024992|1561002382|1885400500|1968098204|2717805783|2860123632|3198323828|3250034553|3619207468|3719974635|4045335048|460017080|494745090|588594999|699525795","GodPVP","","Oversoul Edict PVP God Roll","Barrel: Smallbore (also good: Hammer-Forged Rifling)
Magazine: High-Caliber Rounds (also good: Ricochet Rounds)
Perk 1: Keep Away (also good: Eye of the Storm)
Perk 2: Moving Target (also good: Headseeker)
Masterwork: Range"
"Fang of Ir Yût","1432682459","Kill Clip | Smallbore | Rewind Rounds | Flared Magwell | Light Mag | Full Bore | Full Bore | Golden Tricorn | Shoot to Loot | Smallbore | Kill Clip | Flared Magwell | Rewind Rounds | Shoot to Loot | Golden Tricorn Enhanced | Light Mag","1015611457|1482024992|1563455254|1709045111|1807273211|1871180748|202670084|2610012052|2840833776|2860123632|2923251173|3230963543|3418782618|3700496672|4290541820|679225683","GodPVE","","Fang of Ir Yût PVE God Roll","Barrel: Smallbore or Full Bore
Magazine: Flared Magwell or Light Mag
Perk 1: Rewind Rounds (also good: Shoot to Loot)
Perk 2: Kill Clip or Golden Tricorn
Masterwork: Range"
